"tac,""vendor"",""platform"",""type"""
"00101082,""PROTO"",""Proprietary"",""Phone"""
"00101300,""PROTO"",""Proprietary"",""Phone"""
"00101500,""PROTO"",""Proprietary"",""Phone"""
"00101600,""PROTO"",""Proprietary"",""Phone"""
"00101700,""PROTO"",""Proprietary"",""Phone"""
"00101710,""PROTO"",""Proprietary"",""Phone"""
"00101800,""PROTO"",""Proprietary"",""Phone"""
"00102000,""PROTO"",""Proprietary"",""Phone"""
"00102072,""PROTO"",""Proprietary"",""Phone"""
"00102082,""PROTO"",""Proprietary"",""Phone"""
"00102100,""PROTO"",""Proprietary"",""Phone"""
"00102200,""PROTO"",""Proprietary"",""Phone"""
"00102300,""PROTO"",""Proprietary"",""Phone"""
"00102400,""PROTO"",""Proprietary"",""Phone"""
"00102500,""PROTO"",""Proprietary"",""Phone"""
"00102600,""PROTO"",""Proprietary"",""Phone"""
"00102700,""PROTO"",""Proprietary"",""Phone"""
"00102800,""PROTO"",""Proprietary"",""Phone"""
"00102900,""PROTO"",""Proprietary"",""Phone"""
"00103000,""PROTO"",""Proprietary"",""Phone"""
"00103042,""PROTO"",""Proprietary"",""Phone"""
"00103052,""PROTO"",""Proprietary"",""Phone"""
"00103072,""PROTO"",""Proprietary"",""Phone"""
"00103100,""PROTO"",""Proprietary"",""Phone"""
"00103200,""PROTO"",""Proprietary"",""Phone"""
"00103300,""PROTO"",""Proprietary"",""Phone"""
"00103400,""PROTO"",""Proprietary"",""Phone"""
"00103500,""PROTO"",""Proprietary"",""Phone"""
"00103600,""PROTO"",""Proprietary"",""Phone"""
"00103700,""PROTO"",""Proprietary"",""Phone"""
"00103800,""PROTO"",""Proprietary"",""Phone"""
"00103900,""PROTO"",""Proprietary"",""Phone"""
"00104072,""PROTO"",""Proprietary"",""Phone"""
"00104100,""PROTO"",""Proprietary"",""Phone"""
"00104200,""PROTO"",""Proprietary"",""Phone"""
"00104400,""PROTO"",""Proprietary"",""Phone"""
"00104500,""PROTO"",""Proprietary"",""Phone"""
"00104600,""PROTO"",""Proprietary"",""Phone"""
"00104700,""PROTO"",""Proprietary"",""Phone"""
"00104800,""PROTO"",""Proprietary"",""Phone"""
"00105000,""PROTO"",""Proprietary"",""Phone"""
"00105170,""PROTO"",""Proprietary"",""Phone"""
"00105200,""PROTO"",""Proprietary"",""Phone"""
"00105300,""PROTO"",""Proprietary"",""Phone"""
"00105400,""PROTO"",""Proprietary"",""Phone"""
"00105500,""PROTO"",""Proprietary"",""Phone"""
"00105600,""PROTO"",""Proprietary"",""Phone"""
"00105700,""PROTO"",""Proprietary"",""Phone"""
"00105805,""PROTO"",""Proprietary"",""Phone"""
"00105900,""PROTO"",""Proprietary"",""Phone"""
"00106042,""PROTO"",""Proprietary"",""Phone"""
"00106072,""PROTO"",""Proprietary"",""Phone"""
"00106102,""PROTO"",""Proprietary"",""Phone"""
"00106200,""PROTO"",""Proprietary"",""Phone"""
"00106400,""PROTO"",""Proprietary"",""Phone"""
"00106500,""PROTO"",""Proprietary"",""Phone"""
"00106600,""PROTO"",""Proprietary"",""Phone"""
"00106700,""PROTO"",""Proprietary"",""Phone"""
"00106900,""PROTO"",""Proprietary"",""Phone"""
"00107042,""PROTO"",""Proprietary"",""Phone"""
"00107100,""PROTO"",""Proprietary"",""Phone"""
"00107200,""PROTO"",""Proprietary"",""Phone"""
"00107400,""PROTO"",""Proprietary"",""Phone"""
"00107600,""PROTO"",""Proprietary"",""Phone"""
"00107700,""PROTO"",""Proprietary"",""Phone"""
"00195611,""PROTO"",""Proprietary"",""Phone"""
"00197008,""PROTO"",""Proprietary"",""Phone"""
"00197871,""PROTO"",""Proprietary"",""Phone"""
"00198033,""PROTO"",""Proprietary"",""Phone"""
"00198208,""PROTO"",""Proprietary"",""Phone"""
"00200000,""FAKE"",""Proprietary"",""Phone"""
"00202000,""FAKE"",""Proprietary"",""Phone"""
"00400000,""FAKE"",""Proprietary"",""Phone"""
"00440000,""PROTO"",""Proprietary"",""Phone"""
"00440001,""PROTO"",""Proprietary"",""Phone"""
"00440002,""PROTO"",""Proprietary"",""Phone"""
"00440003,""PROTO"",""Proprietary"",""Phone"""
"00440004,""PROTO"",""Proprietary"",""Phone"""
"00440005,""PROTO"",""Proprietary"",""Phone"""
"00440006,""PROTO"",""Proprietary"",""Phone"""
"00440007,""PROTO"",""Proprietary"",""Phone"""
"00440008,""PROTO"",""Proprietary"",""Phone"""
"00440009,""PROTO"",""Proprietary"",""Phone"""
"00440010,""PROTO"",""Proprietary"",""Phone"""
"00440011,""PROTO"",""Proprietary"",""Phone"""
"00440012,""PROTO"",""Proprietary"",""Phone"""
"00440013,""PROTO"",""Proprietary"",""Phone"""
"00440014,""PROTO"",""Proprietary"",""Phone"""
"00440015,""PROTO"",""Proprietary"",""Phone"""
"00440016,""PROTO"",""Proprietary"",""Phone"""
"00440017,""PROTO"",""Proprietary"",""Phone"""
"00440018,""PROTO"",""Proprietary"",""Phone"""
"00440019,""PROTO"",""Proprietary"",""Phone"""
"00440020,""PROTO"",""Proprietary"",""Phone"""
"00440021,""PROTO"",""Proprietary"",""Phone"""
"00440022,""PROTO"",""Proprietary"",""Phone"""
"00440023,""PROTO"",""Proprietary"",""Phone"""
"00440024,""PROTO"",""Proprietary"",""Phone"""
"00440025,""PROTO"",""Proprietary"",""Phone"""
"00440026,""PROTO"",""Proprietary"",""Phone"""
"00440027,""PROTO"",""Proprietary"",""Phone"""
"00440028,""PROTO"",""Proprietary"",""Phone"""
"00440029,""PROTO"",""Proprietary"",""Phone"""
"00440030,""PROTO"",""Proprietary"",""Phone"""
"00440031,""PROTO"",""Proprietary"",""Phone"""
"00440032,""PROTO"",""Proprietary"",""Phone"""
"00440033,""PROTO"",""Proprietary"",""Phone"""
"00440034,""PROTO"",""Proprietary"",""Phone"""
"00440035,""PROTO"",""Proprietary"",""Phone"""
"00440036,""PROTO"",""Proprietary"",""Phone"""
"00440037,""PROTO"",""Proprietary"",""Phone"""
"00440038,""PROTO"",""Proprietary"",""Phone"""
"00440039,""PROTO"",""Proprietary"",""Phone"""
"00440040,""PROTO"",""Proprietary"",""Phone"""
"00440041,""PROTO"",""Proprietary"",""Phone"""
"00440042,""PROTO"",""Proprietary"",""Phone"""
"00440043,""PROTO"",""Proprietary"",""Phone"""
"00440044,""PROTO"",""Proprietary"",""Phone"""
"00440045,""PROTO"",""Proprietary"",""Phone"""
"00440046,""PROTO"",""Proprietary"",""Phone"""
"00440047,""PROTO"",""Proprietary"",""Phone"""
"00440048,""PROTO"",""Proprietary"",""Phone"""
"00440049,""PROTO"",""Proprietary"",""Phone"""
"00440050,""PROTO"",""Proprietary"",""Phone"""
"00440051,""PROTO"",""Proprietary"",""Phone"""
"00440052,""PROTO"",""Proprietary"",""Phone"""
"00440053,""PROTO"",""Proprietary"",""Phone"""
"00440054,""PROTO"",""Proprietary"",""Phone"""
"00440055,""PROTO"",""Proprietary"",""Phone"""
"00440056,""PROTO"",""Proprietary"",""Phone"""
"00440057,""PROTO"",""Proprietary"",""Phone"""
"00440058,""PROTO"",""Proprietary"",""Phone"""
"00440059,""PROTO"",""Proprietary"",""Phone"""
"00440060,""PROTO"",""Proprietary"",""Phone"""
"00440061,""PROTO"",""Proprietary"",""Phone"""
"00440062,""PROTO"",""Proprietary"",""Phone"""
"00440063,""PROTO"",""Proprietary"",""Phone"""
"00440064,""PROTO"",""Proprietary"",""Phone"""
"00440065,""PROTO"",""Proprietary"",""Phone"""
"00440066,""PROTO"",""Proprietary"",""Phone"""
"00440068,""PROTO"",""Proprietary"",""Phone"""
"00440069,""PROTO"",""Proprietary"",""Phone"""
"00440070,""PROTO"",""Proprietary"",""Phone"""
"00440071,""PROTO"",""Proprietary"",""Phone"""
"00440072,""PROTO"",""Proprietary"",""Phone"""
"00440073,""PROTO"",""Proprietary"",""Phone"""
"00440074,""PROTO"",""Proprietary"",""Phone"""
"00440075,""PROTO"",""Proprietary"",""Phone"""
"00440076,""PROTO"",""Proprietary"",""Phone"""
"00440077,""PROTO"",""Proprietary"",""Phone"""
"00440078,""PROTO"",""Proprietary"",""Phone"""
"00440079,""PROTO"",""Proprietary"",""Phone"""
"00440080,""PROTO"",""Proprietary"",""Phone"""
"00440081,""PROTO"",""Proprietary"",""Phone"""
"00440082,""PROTO"",""Proprietary"",""Phone"""
"00440083,""PROTO"",""Proprietary"",""Phone"""
"00440084,""PROTO"",""Proprietary"",""Phone"""
"00440085,""PROTO"",""Proprietary"",""Phone"""
"00440086,""PROTO"",""Proprietary"",""Phone"""
"00440087,""PROTO"",""Proprietary"",""Phone"""
"00440088,""PROTO"",""Proprietary"",""Phone"""
"00440089,""PROTO"",""Proprietary"",""Phone"""
"00440090,""PROTO"",""Proprietary"",""Phone"""
"00440091,""PROTO"",""Proprietary"",""Phone"""
"00440092,""PROTO"",""Proprietary"",""Phone"""
"00440093,""PROTO"",""Proprietary"",""Phone"""
"00440094,""PROTO"",""Proprietary"",""Phone"""
"00440095,""PROTO"",""Proprietary"",""Phone"""
"00440096,""PROTO"",""Proprietary"",""Phone"""
"00440097,""PROTO"",""Proprietary"",""Phone"""
"00440098,""PROTO"",""Proprietary"",""Phone"""
"00440099,""PROTO"",""Proprietary"",""Phone"""
"00440100,""PROTO"",""Proprietary"",""Phone"""
"00440101,""PROTO"",""Proprietary"",""Phone"""
"00440102,""PROTO"",""Proprietary"",""Phone"""
"00440103,""PROTO"",""Proprietary"",""Phone"""
"00440104,""PROTO"",""Proprietary"",""Phone"""
"00440105,""PROTO"",""Proprietary"",""Phone"""
"00440106,""PROTO"",""Proprietary"",""Phone"""
"00440107,""PROTO"",""Proprietary"",""Phone"""
"00440108,""PROTO"",""Proprietary"",""Phone"""
"00440109,""PROTO"",""Proprietary"",""Phone"""
"00440110,""PROTO"",""Proprietary"",""Phone"""
"00440111,""PROTO"",""Proprietary"",""Phone"""
"00440112,""PROTO"",""Proprietary"",""Phone"""
"00440113,""PROTO"",""Proprietary"",""Phone"""
"00440114,""PROTO"",""Proprietary"",""Phone"""
"00440115,""PROTO"",""Proprietary"",""Phone"""
"00440116,""PROTO"",""Proprietary"",""Phone"""
"00440117,""PROTO"",""Proprietary"",""Phone"""
"00440118,""PROTO"",""Proprietary"",""Phone"""
"00440119,""PROTO"",""Proprietary"",""Phone"""
"00440120,""PROTO"",""Proprietary"",""Phone"""
"00440121,""PROTO"",""Proprietary"",""Phone"""
"00440122,""PROTO"",""Proprietary"",""Phone"""
"00440123,""PROTO"",""Proprietary"",""Phone"""
"00440124,""PROTO"",""Proprietary"",""Phone"""
"00440125,""PROTO"",""Proprietary"",""Phone"""
"00440126,""PROTO"",""Proprietary"",""Phone"""
"00440127,""PROTO"",""Proprietary"",""Phone"""
"00440128,""PROTO"",""Proprietary"",""Phone"""
"00440129,""PROTO"",""Proprietary"",""Phone"""
"00440130,""PROTO"",""Proprietary"",""Phone"""
"00440131,""PROTO"",""Proprietary"",""Phone"""
"00440132,""PROTO"",""Proprietary"",""Phone"""
"00440133,""PROTO"",""Proprietary"",""Phone"""
"00440134,""PROTO"",""Proprietary"",""Phone"""
"00440135,""PROTO"",""Proprietary"",""Phone"""
"00440136,""PROTO"",""Proprietary"",""Phone"""
"00440137,""PROTO"",""Proprietary"",""Phone"""
"00440138,""PROTO"",""Proprietary"",""Phone"""
"00440139,""PROTO"",""Proprietary"",""Phone"""
"00440140,""PROTO"",""Proprietary"",""Phone"""
"00440141,""PROTO"",""Proprietary"",""Phone"""
"00440142,""PROTO"",""Proprietary"",""Phone"""
"00440143,""PROTO"",""Proprietary"",""Phone"""
"00440144,""PROTO"",""Proprietary"",""Phone"""
"00440145,""PROTO"",""Proprietary"",""Phone"""
"00440146,""PROTO"",""Proprietary"",""Phone"""
"00440147,""PROTO"",""Proprietary"",""Phone"""
"00440148,""PROTO"",""Proprietary"",""Phone"""
"00440149,""PROTO"",""Proprietary"",""Phone"""
"00440150,""PROTO"",""Proprietary"",""Phone"""
"00440151,""PROTO"",""Proprietary"",""Phone"""
"00440152,""PROTO"",""Proprietary"",""Phone"""
"00440153,""PROTO"",""Proprietary"",""Phone"""
"00440154,""PROTO"",""Proprietary"",""Phone"""
"00440155,""PROTO"",""Proprietary"",""Phone"""
"00440156,""PROTO"",""Proprietary"",""Phone"""
"00440157,""PROTO"",""Proprietary"",""Phone"""
"00440158,""PROTO"",""Proprietary"",""Phone"""
"00440159,""PROTO"",""Proprietary"",""Phone"""
"00440160,""PROTO"",""Proprietary"",""Phone"""
"00440161,""PROTO"",""Proprietary"",""Phone"""
"00440162,""PROTO"",""Proprietary"",""Phone"""
"00440163,""PROTO"",""Proprietary"",""Phone"""
"00440164,""PROTO"",""Proprietary"",""Phone"""
"00440165,""PROTO"",""Proprietary"",""Phone"""
"00440166,""PROTO"",""Proprietary"",""Phone"""
"00440167,""PROTO"",""Proprietary"",""Phone"""
"00440168,""PROTO"",""Proprietary"",""Phone"""
"00440169,""PROTO"",""Proprietary"",""Phone"""
"00440170,""PROTO"",""Proprietary"",""Phone"""
"00440171,""PROTO"",""Proprietary"",""Phone"""
"00440172,""PROTO"",""Proprietary"",""Phone"""
"00440173,""PROTO"",""Proprietary"",""Phone"""
"00440174,""PROTO"",""Proprietary"",""Phone"""
"00440175,""PROTO"",""Proprietary"",""Phone"""
"00440176,""PROTO"",""Proprietary"",""Phone"""
"00440177,""PROTO"",""Proprietary"",""Phone"""
"00440178,""PROTO"",""Proprietary"",""Phone"""
"00440179,""PROTO"",""Proprietary"",""Phone"""
"00440180,""PROTO"",""Proprietary"",""Phone"""
"00440181,""PROTO"",""Proprietary"",""Phone"""
"00440182,""PROTO"",""Proprietary"",""Phone"""
"00440183,""PROTO"",""Proprietary"",""Phone"""
"00440184,""PROTO"",""Proprietary"",""Phone"""
"00440185,""PROTO"",""Proprietary"",""Phone"""
"00440186,""PROTO"",""Proprietary"",""Phone"""
"00440187,""PROTO"",""Proprietary"",""Phone"""
"00440188,""PROTO"",""Proprietary"",""Phone"""
"00440189,""PROTO"",""Proprietary"",""Phone"""
"00440190,""PROTO"",""Proprietary"",""Phone"""
"00440191,""PROTO"",""Proprietary"",""Phone"""
"00440192,""PROTO"",""Proprietary"",""Phone"""
"00440193,""PROTO"",""Proprietary"",""Phone"""
"00440194,""PROTO"",""Proprietary"",""Phone"""
"00440195,""PROTO"",""Proprietary"",""Phone"""
"00440196,""PROTO"",""Proprietary"",""Phone"""
"00440197,""PROTO"",""Proprietary"",""Phone"""
"00440198,""PROTO"",""Proprietary"",""Phone"""
"00440199,""PROTO"",""Proprietary"",""Phone"""
"00440200,""PROTO"",""Proprietary"",""Phone"""
"00440201,""PROTO"",""Proprietary"",""Phone"""
"00440202,""PROTO"",""Proprietary"",""Phone"""
"00440203,""PROTO"",""Proprietary"",""Phone"""
"00440204,""PROTO"",""Proprietary"",""Phone"""
"00440205,""PROTO"",""Proprietary"",""Phone"""
"00440206,""PROTO"",""Proprietary"",""Phone"""
"00440207,""PROTO"",""Proprietary"",""Phone"""
"00440208,""PROTO"",""Proprietary"",""Phone"""
"00440209,""PROTO"",""Proprietary"",""Phone"""
"00440210,""PROTO"",""Proprietary"",""Phone"""
"00440211,""PROTO"",""Proprietary"",""Phone"""
"00440212,""PROTO"",""Proprietary"",""Phone"""
"00440213,""PROTO"",""Proprietary"",""Phone"""
"00440214,""PROTO"",""Proprietary"",""Phone"""
"00440215,""PROTO"",""Proprietary"",""Phone"""
"00440216,""PROTO"",""Proprietary"",""Phone"""
"00440217,""PROTO"",""Proprietary"",""Phone"""
"00440218,""PROTO"",""Proprietary"",""Phone"""
"00440219,""PROTO"",""Proprietary"",""Phone"""
"00440220,""PROTO"",""Proprietary"",""Phone"""
"00440221,""PROTO"",""Proprietary"",""Phone"""
"00440222,""PROTO"",""Proprietary"",""Phone"""
"00440223,""PROTO"",""Proprietary"",""Phone"""
"00440224,""PROTO"",""Proprietary"",""Phone"""
"00440225,""PROTO"",""Proprietary"",""Phone"""
"00440226,""PROTO"",""Proprietary"",""Phone"""
"00440227,""PROTO"",""Proprietary"",""Phone"""
"00440228,""PROTO"",""Proprietary"",""Phone"""
"00440229,""PROTO"",""Proprietary"",""Phone"""
"00440230,""PROTO"",""Proprietary"",""Phone"""
"00440840,""PROTO"",""Proprietary"",""Phone"""
"00440841,""PROTO"",""Proprietary"",""Phone"""
"00443301,""PROTO"",""Proprietary"",""Phone"""
"00443306,""PROTO"",""Proprietary"",""Phone"""
"00443587,""PROTO"",""Proprietary"",""Phone"""
"00446790,""PROTO"",""Proprietary"",""Phone"""
"00448835,""PROTO"",""Proprietary"",""Phone"""
"00450667,""PROTO"",""Proprietary"",""Phone"""
"00450767,""PROTO"",""Proprietary"",""Phone"""
"00451367,""PROTO"",""Proprietary"",""Phone"""
"00460100,""PROTO"",""Proprietary"",""Phone"""
"00460101,""PROTO"",""Proprietary"",""Phone"""
"00460102,""PROTO"",""Proprietary"",""Phone"""
"00460103,""PROTO"",""Proprietary"",""Phone"""
"00460178,""PROTO"",""Proprietary"",""Phone"""
"00485812,""PROTO"",""Proprietary"",""Phone"""
"00490162,""PROTO"",""Proprietary"",""Phone"""
"00490200,""PROTO"",""Proprietary"",""Phone"""
"00490830,""PROTO"",""Proprietary"",""Phone"""
"00491603,""PROTO"",""Proprietary"",""Phone"""
"00491626,""PROTO"",""Proprietary"",""Phone"""
"00491628,""PROTO"",""Proprietary"",""Phone"""
"00491702,""PROTO"",""Proprietary"",""Phone"""
"00491762,""PROTO"",""Proprietary"",""Phone"""
"00491788,""PROTO"",""Proprietary"",""Phone"""
"00494121,""PROTO"",""Proprietary"",""Phone"""
"00498600,""PROTO"",""Proprietary"",""Phone"""
"00499150,""PROTO"",""Proprietary"",""Phone"""
"00499711,""PROTO"",""Proprietary"",""Phone"""
"00499900,""PROTO"",""Proprietary"",""Phone"""
"00499901,""PROTO"",""Proprietary"",""Phone"""
"00499935,""PROTO"",""Proprietary"",""Phone"""
"00499941,""PROTO"",""Proprietary"",""Phone"""
"00499951,""PROTO"",""Proprietary"",""Phone"""
"00499963,""PROTO"",""Proprietary"",""Phone"""
"00499967,""PROTO"",""Proprietary"",""Phone"""
"00600000,""FAKE"",""Proprietary"",""Phone"""
"00700000,""FAKE"",""Proprietary"",""Phone"""
"00700700,""FAKE"",""Proprietary"",""Phone"""
"00777777,""FAKE"",""Proprietary"",""Phone"""
"00800800,""FAKE"",""Proprietary"",""Phone"""
"00808080,""FAKE"",""Proprietary"",""Phone"""
"00860006,""PROTO"",""Proprietary"",""Phone"""
"00880080,""FAKE"",""Proprietary"",""Phone"""
"00900000,""FAKE"",""Proprietary"",""Phone"""
"00999990,""FAKE"",""Proprietary"",""Phone"""
"00999999,""FAKE"",""Proprietary"",""Phone"""
"01000000,""FAKE"",""Proprietary"",""Phone"""
"01000350,""Nokia"",""ISA"",""Phone"""
"01002151,""Ericsson"",""Proprietary"",""Phone"""
"01002152,""Ericsson"",""Proprietary"",""Phone"""
"01002251,""Siemens"",""Proprietary"",""Phone"""
"01002272,""Siemens"",""Proprietary"",""Phone"""
"01002311,""Mitsubishi"",""Proprietary"",""Phone"""
"01002312,""Mitsubishi"",""Proprietary"",""Phone"""
"01002410,""Nokia"",""Proprietary"",""Phone"""
"01002450,""Nokia"",""Proprietary"",""Phone"""
"01002650,""Philips"",""Proprietary"",""Phone"""
"01002751,""Siemens"",""Proprietary"",""Phone"""
"01002772,""Siemens"",""Proprietary"",""Phone"""
"01002810,""Nokia"",""ISA"",""Phone"""
"01002830,""Nokia"",""ISA"",""Phone"""
"01002850,""Nokia"",""ISA"",""Phone"""
"01002901,""Nortel"",""Proprietary"",""Phone"""
"01002902,""Nortel"",""Proprietary"",""Phone"""
"01003001,""Nortel"",""Proprietary"",""Phone"""
"01003002,""Nortel"",""Proprietary"",""Phone"""
"01003100,""Motorola"",""Proprietary"",""Phone"""
"01003167,""Motorola"",""Proprietary"",""Phone"""
"01003169,""Motorola"",""Proprietary"",""Phone"""
"01003200,""Motorola"",""Proprietary"",""Phone"""
"01003267,""Motorola"",""Proprietary"",""Phone"""
"01003269,""Motorola"",""Proprietary"",""Phone"""
"01003300,""Motorola"",""Proprietary"",""Phone"""
"01003367,""Motorola"",""Proprietary"",""Phone"""
"01003369,""Motorola"",""Proprietary"",""Phone"""
"01003400,""Motorola"",""Proprietary"",""Phone"""
"01003467,""Motorola"",""Proprietary"",""Phone"""
"01003469,""Motorola"",""Proprietary"",""Phone"""
"01003500,""Motorola"",""Proprietary"",""Phone"""
"01003567,""Motorola"",""Proprietary"",""Phone"""
"01003569,""Motorola"",""Proprietary"",""Phone"""
"01003652,""Ericsson"",""Proprietary"",""Phone"""
"01003710,""Nokia"",""ISA"",""Phone"""
"01003730,""Nokia"",""ISA"",""Phone"""
"01003750,""Nokia"",""ISA"",""Phone"""
"01003800,""Motorola"",""Proprietary"",""Phone"""
"01003867,""Motorola"",""Proprietary"",""Phone"""
"01003869,""Motorola"",""Proprietary"",""Phone"""
"01003910,""Sagem"",""Proprietary"",""Phone"""
"01003935,""Sagem"",""Proprietary"",""Phone"""
"01003982,""Sagem"",""Proprietary"",""Phone"""
"01004051,""Ericsson"",""Proprietary"",""Phone"""
"01004052,""Ericsson"",""Proprietary"",""Phone"""
"01004151,""Ericsson"",""Proprietary"",""Phone"""
"01004152,""Ericsson"",""Proprietary"",""Phone"""
"01004211,""Mitsubishi"",""Proprietary"",""Phone"""
"01004212,""Mitsubishi"",""Proprietary"",""Phone"""
"01004310,""Sagem"",""Proprietary"",""Phone"""
"01004335,""Sagem"",""Proprietary"",""Phone"""
"01004382,""Sagem"",""Proprietary"",""Phone"""
"01004410,""Sagem"",""Proprietary"",""Phone"""
"01004435,""Sagem"",""Proprietary"",""Phone"""
"01004482,""Sagem"",""Proprietary"",""Phone"""
"01004510,""Sagem"",""Proprietary"",""Phone"""
"01004535,""Sagem"",""Proprietary"",""Phone"""
"01004582,""Sagem"",""Proprietary"",""Phone"""
"01004600,""Motorola"",""Proprietary"",""Phone"""
"01004667,""Motorola"",""Proprietary"",""Phone"""
"01004669,""Motorola"",""Proprietary"",""Phone"""
"01004700,""Motorola"",""Proprietary"",""Phone"""
"01004767,""Motorola"",""Proprietary"",""Phone"""
"01004769,""Motorola"",""Proprietary"",""Phone"""
"01004910,""Nokia"",""ISA"",""Phone"""
"01004930,""Nokia"",""ISA"",""Phone"""
"01004950,""Nokia"",""ISA"",""Phone"""
"01005111,""Mitsubishi"",""Proprietary"",""Phone"""
"01005112,""Mitsubishi"",""Proprietary"",""Phone"""
"01005200,""Motorola"",""Proprietary"",""Phone"""
"01005342,""Ericsson"",""Proprietary"",""Phone"""
"01005351,""Ericsson"",""Proprietary"",""Phone"""
"01005361,""Ericsson"",""Proprietary"",""Phone"""
"01005371,""Ericsson"",""Proprietary"",""Phone"""
"01005410,""Nokia"",""ISA"",""Phone"""
"01005430,""Nokia"",""ISA"",""Phone"""
"01005450,""Nokia"",""ISA"",""Phone"""
"01005510,""Nokia"",""ISA"",""Phone"""
"01005530,""Nokia"",""ISA"",""Phone"""
"01005550,""Nokia"",""ISA"",""Phone"""
"01005611,""Mitsubishi"",""Proprietary"",""Phone"""
"01005612,""Mitsubishi"",""Proprietary"",""Phone"""
"01005711,""Mitsubishi"",""Proprietary"",""Phone"""
"01005712,""Mitsubishi"",""Proprietary"",""Phone"""
"01006000,""Motorola"",""Proprietary"",""Phone"""
