type;type_description
4062;Плата за перевод на карту (с карты) через POS (в пределах одного филиала)
7025;Взнос наличных через POS (в других ТБ) по счету в овердрафте
6200;Возврат  покупки. Зарубеж.
1100;Покупка.
4440;Плата за получение через АТМ выписки о 10 последних операциях по карте
1410;н/д
2403;Перевод средств с карты на счет клиента по поручению автомат.
7091;Межфилиальные пополнения зарплатных карт по счету в овердрафте
2010;Выдача наличных в АТМ
8100;Списание после проведения претензионной работы
7032;Перевод на карту (с карты) через АТМ (в пределах одного филиала)
7015;Взнос наличных через АТМ (в других ТБ) по счету в овердрафте
7030;Перевод на карту (с карты) через АТМ (в пределах одного тер.банка)
2000;Наличные.
2021;Выдача наличных через POS банка (в других ТБ)
1110;Покупка. POS 
7082;Перевод/пополнение со счета на карту через Интернет 
4020;Плата за получение наличных через POS в банке
1510;н/д
2401;Перевод средств с карты на счет клиента через АТМ
2100;Наличные.
2430;Перевод с карты на счет физ.лица в другом банке через ВСП
3800;Плата за обслуживание банковской карты (за первый год)
8146;н/д
7071;Перевод на карту (с карты) через Мобильный банк (с взиманием комиссии с отправителя)
2325;н/д
7041;Перевод на карту (с карты) через POS (из одного ТБ в другой ТБ)
2342;Списание с карты по операции “перевода с карты на карту” через POS (в пределах одного филиала)
4040;Плата за взнос наличных через POS (в своем тер.банке)
4500;Плата за превыш.лимита
2001;Выдача наличных в подразделении банка (в других ТБ) 
8000;Поправки по счету клиен. Зачисл.
5110;Списание % за овердрафт
3030;Плата за обслуживание банковской карты (за последующие годы)
7042;Перевод на карту (с карты) через POS (в пределах одного филиала)
2323;Платеж с карты через мобильное приложение
8002;Увеличение расходного лимита
8050;Перевод средств с карты Visa Classic (E/M Standard) на V(E/M) Gold
4060;Плата за перевод на карту (с карты) через POS (в пределах одного тер.банка)
4050;Плата за перевод на карту (с карты) через АТМ (в пределах одного тер.банка)
2020;Выдача наличных через POS банка
2200;Наличные.  Зарубеж. банк
7021;Взнос наличных через POS
1010;Покупка. POS 
7031;Перевод на карту (с карты) через АТМ (из одного ТБ в другой ТБ)
8150;Корректировка зачисления
2412;Перевод с карты на счет др.лица в одном тер. банке через мобильное приложение
2332;Списание с карты по операции “перевода с карты на карту” через АТМ (в пределах одного филиала)
4001;Плата за получение наличных в банке (в других ТБ)
2371;Списание с карты на карту по операции <перевода с карты на карту> через Мобильный банк (с комиссией)
4200;Плата за получение наличных. Зарубеж.
4011;Плата за получение наличных в АТМ банка (в других ТБ)
4031;Плата за взнос наличных через АТМ (в другом тер.банке)
2110;Наличные.   АТМ
2423;Перевод с карты на счет физ.лица в другом тер. банке по поручению автомат.
7044;Перевод на карту/ с карты через POS (без взимания комиссии с отправителя) по счету в овердрафте
3300;н/д
6010;Возврат  покупки. POS
2422;Перевод с карты на счет физ.лица в другом тер. банке через мобильное приложение
4082;Оплата услуг банка через мобильное приложение
8003;Списание подоходного налога с нерезидента
2354;Погашение кредита с карты по поручению клиента автомат.
7035;Перевод на карту/ с карты через АТМ (со взиманием комиссии с отправителя) по счету в овердрафте
8151;Урегулирование безнадежной задолженности 
2413;Перевод с карты на счет др.лица в одном тер. банке по поручению автомат.
7024;Взнос наличных через POS (в своем ТБ) по счету в овердрафте
7074;Перевод с карты на карту в овердрафте через Мобильный банк (без взимания комиссии)
4052;Плата за перевод на карту (с карты) через АТМ (в пределах одного филиала)
8145;Зачисление до завершения претензионной работы
6110;Возврат покупки. POS 
4071;Плата за перевод на карту (с карты) через Мобильный банк
4110;Плата за получение наличных в АТМ.
2320;Безналичный перевод денежных средств через POS
7040;Перевод на карту (с карты) через POS (в пределах одного тер.банка)
2433;Перевод с карты на счет физ.лица в другом банке по поручению автомат.
2431;Перевод с карты на счет физ.лица в другом банке через АТМ
