code;code_description
7991;Туристические аттракционы и шоу
5713;Покрытия для пола
5311;Универмаги
7993;Принадлежности для видеоигр
7841;Видеопрокат
5611;Мужская одежда и аксессуары, включая одежду для мальчиков
8244;Школы — бизнес и секретарей
5995;Зоомагазины
5039;Строительные материалы — нигде более не классифицированные
6012;Финансовые институты — торговля и услуги
5813;Бары, коктейль-бары, дискотеки, ночные клубы и таверны — места продажи алкогольных напитков
5712;Оборудование, мебель и бытовые принадлежности (кроме электрооборудования)
5661;Обувные магазины
5013;Поставщики грузовиков и запчастей
5699;Различные магазины одежды и аксессуаров
4784;Дорожный и мостовой сборы, пошлины
5714;Ткани, обивочный материал, гардины и портьеры, жалюзи
3000;Авиалинии, авиакомпании
5451;Продажа молочных продуктов в розницу
5310;Магазины, торгующие по сниженным ценам
9222;Штрафы
5641;Детская одежда, включая одежду для самых маленьких
6010;Финансовые институты — снятие наличности вручную
5331;Универсальные магазины
5681;Изготовление и продажа меховых изделий
5732;Продажа электронного оборудования
5976;Ортопедические товары
5542;Автоматизированные бензозаправки
5309;Беспошлинные магазины Duty Free
5940;Веломагазины — продажа и обслуживание
5719;Различные специализированные магазины бытовых принадлежностей
5211;Лесо- и строительный материал
7994;Галереи/учреждения видеоигр
4829;Денежные переводы
9402;Почтовые услуги — только правительство
8021;Дантисты, ортодонтисты
4214;Агентства по автотранспортным перевозкам, местные/дальные автогрузоперевозки, компании попереезду и хранению, местная доставка
6513;Агенты и менеджеры по аренде недвижимости
5411;Бакалейные магазины, супермаркеты
5999;Плавательные бассейны — распродажа
742;Ветеринарные услуги
5946;Магазины фотооборудования и фотоприборов
5200;Товары для дома
4816;Компьютерная сеть/информационные услуги
7230;Салоты красоты и парикмахерские
5047;Стоматологическое/лабороторное/медицинское/офтальмологическое стационарное оборудование и устройства
5045;Компьютеры, периферийное компьютерное оборудование, программное обеспечение
9211;Судовые выплаты, включая алименты и детскую поддержку
8999;Профессиональные услуги, нигде ранее не классифицируемые
2741;Разнообразные издательства/печатное дело
5044;Офисное, фотографическое, фотокопировальное, и микрофильмирующее оборудование
5983;Горючее топливо — уголь, нефть, разжиженный бензин, дрова
5994;Дилеры по продаже печатной продукции
5192;Книги, периодические издания и газеты
7922;Театральные продюсерские агентства
