Dateparse,avg_mass_apg
03-Aug-18 16:00:00,0.51
03-Aug-18 17:00:00,0.51
03-Aug-18 18:00:00,0.51
03-Aug-18 19:00:00,0.51
03-Aug-18 20:00:00,0.51
03-Aug-18 21:00:00,0.51
03-Aug-18 22:00:00,0.51
03-Aug-18 23:00:00,0.51
04-Aug-18 00:00:00,0.52
04-Aug-18 01:00:00,0.52
04-Aug-18 02:00:00,0.52
04-Aug-18 03:00:00,0.52
04-Aug-18 04:00:00,0.52
04-Aug-18 05:00:00,0.52
04-Aug-18 06:00:00,0.52
04-Aug-18 07:00:00,0.52
04-Aug-18 08:00:00,0.52
04-Aug-18 09:00:00,0.52
04-Aug-18 10:00:00,0.52
04-Aug-18 11:00:00,0.52
04-Aug-18 12:00:00,0.52
04-Aug-18 13:00:00,0.52
04-Aug-18 14:00:00,0.52
04-Aug-18 15:00:00,0.52
04-Aug-18 16:00:00,0.52
04-Aug-18 17:00:00,0.52
04-Aug-18 18:00:00,0.52
04-Aug-18 19:00:00,0.52
04-Aug-18 20:00:00,0.52
04-Aug-18 21:00:00,0.52
04-Aug-18 22:00:00,0.52
04-Aug-18 23:00:00,0.52
05-Aug-18 00:00:00,0.51
05-Aug-18 01:00:00,0.51
05-Aug-18 02:00:00,0.51
05-Aug-18 03:00:00,0.51
05-Aug-18 04:00:00,0.51
05-Aug-18 05:00:00,0.51
05-Aug-18 06:00:00,0.51
05-Aug-18 07:00:00,0.51
05-Aug-18 08:00:00,0.51
05-Aug-18 09:00:00,0.51
05-Aug-18 10:00:00,0.51
05-Aug-18 11:00:00,0.51
05-Aug-18 12:00:00,0.51
05-Aug-18 13:00:00,0.51
05-Aug-18 14:00:00,0.51
05-Aug-18 15:00:00,0.51
05-Aug-18 16:00:00,0.51
05-Aug-18 17:00:00,0.51
05-Aug-18 18:00:00,0.51
05-Aug-18 19:00:00,0.51
05-Aug-18 20:00:00,0.51
05-Aug-18 21:00:00,0.51
05-Aug-18 22:00:00,0.51
05-Aug-18 23:00:00,0.51
06-Aug-18 00:00:00,0.51
06-Aug-18 01:00:00,0.51
06-Aug-18 02:00:00,0.51
06-Aug-18 03:00:00,0.51
06-Aug-18 04:00:00,0.51
06-Aug-18 05:00:00,0.51
06-Aug-18 06:00:00,0.51
06-Aug-18 07:00:00,0.51
06-Aug-18 08:00:00,0.51
06-Aug-18 09:00:00,0.51
06-Aug-18 10:00:00,0.51
06-Aug-18 11:00:00,0.51
06-Aug-18 12:00:00,0.51
06-Aug-18 13:00:00,0.51
06-Aug-18 14:00:00,0.51
06-Aug-18 15:00:00,0.51
06-Aug-18 16:00:00,0.51
06-Aug-18 17:00:00,0.51
06-Aug-18 18:00:00,0.51
06-Aug-18 19:00:00,0.51
06-Aug-18 20:00:00,0.51
06-Aug-18 21:00:00,0.51
06-Aug-18 22:00:00,0.51
06-Aug-18 23:00:00,0.51
07-Aug-18 00:00:00,0.51
07-Aug-18 01:00:00,0.51
07-Aug-18 02:00:00,0.51
07-Aug-18 03:00:00,0.51
07-Aug-18 04:00:00,0.51
07-Aug-18 05:00:00,0.51
07-Aug-18 06:00:00,0.51
07-Aug-18 07:00:00,0.51
07-Aug-18 08:00:00,0.51
07-Aug-18 09:00:00,0.51
07-Aug-18 10:00:00,0.51
07-Aug-18 11:00:00,0.51
07-Aug-18 12:00:00,0.51
07-Aug-18 13:00:00,0.51
07-Aug-18 14:00:00,0.51
07-Aug-18 15:00:00,0.51
07-Aug-18 16:00:00,0.51
07-Aug-18 17:00:00,0.51
07-Aug-18 18:00:00,0.51
07-Aug-18 19:00:00,0.51
07-Aug-18 20:00:00,0.51
07-Aug-18 21:00:00,0.51
07-Aug-18 22:00:00,0.51
07-Aug-18 23:00:00,0.51
08-Aug-18 00:00:00,0.51
08-Aug-18 01:00:00,0.51
08-Aug-18 02:00:00,0.51
08-Aug-18 03:00:00,0.51
08-Aug-18 04:00:00,0.51
08-Aug-18 05:00:00,0.51
08-Aug-18 06:00:00,0.51
08-Aug-18 07:00:00,0.51
08-Aug-18 08:00:00,0.51
08-Aug-18 09:00:00,0.51
08-Aug-18 10:00:00,0.51
08-Aug-18 11:00:00,0.51
08-Aug-18 12:00:00,0.51
08-Aug-18 13:00:00,0.51
08-Aug-18 14:00:00,0.51
08-Aug-18 15:00:00,0.51
08-Aug-18 16:00:00,0.51
08-Aug-18 17:00:00,0.51
08-Aug-18 18:00:00,0.51
08-Aug-18 19:00:00,0.51
08-Aug-18 20:00:00,0.51
08-Aug-18 21:00:00,0.51
08-Aug-18 22:00:00,0.51
08-Aug-18 23:00:00,0.51
09-Aug-18 00:00:00,0.51
09-Aug-18 01:00:00,0.51
09-Aug-18 02:00:00,0.51
09-Aug-18 03:00:00,0.51
09-Aug-18 04:00:00,0.51
09-Aug-18 05:00:00,0.51
09-Aug-18 06:00:00,0.51
09-Aug-18 07:00:00,0.51
09-Aug-18 08:00:00,0.51
09-Aug-18 09:00:00,0.51
09-Aug-18 10:00:00,0.51
09-Aug-18 11:00:00,0.51
09-Aug-18 12:00:00,0.51
09-Aug-18 13:00:00,0.51
09-Aug-18 14:00:00,0.51
09-Aug-18 15:00:00,0.51
09-Aug-18 16:00:00,0.51
09-Aug-18 17:00:00,0.51
09-Aug-18 18:00:00,0.51
09-Aug-18 19:00:00,0.51
09-Aug-18 20:00:00,0.51
09-Aug-18 21:00:00,0.51
09-Aug-18 22:00:00,0.51
09-Aug-18 23:00:00,0.51
10-Aug-18 00:00:00,0.51
10-Aug-18 01:00:00,0.51
10-Aug-18 02:00:00,0.51
10-Aug-18 03:00:00,0.51
10-Aug-18 04:00:00,0.51
10-Aug-18 05:00:00,0.51
10-Aug-18 06:00:00,0.51
10-Aug-18 07:00:00,0.51
10-Aug-18 08:00:00,0.51
10-Aug-18 09:00:00,0.51
10-Aug-18 10:00:00,0.51
10-Aug-18 11:00:00,0.51
10-Aug-18 12:00:00,0.51
10-Aug-18 13:00:00,0.51
10-Aug-18 14:00:00,0.51
10-Aug-18 15:00:00,0.51
10-Aug-18 16:00:00,0.51
10-Aug-18 17:00:00,0.51
10-Aug-18 18:00:00,0.51
10-Aug-18 19:00:00,0.51
10-Aug-18 20:00:00,0.51
10-Aug-18 21:00:00,0.51
10-Aug-18 22:00:00,0.51
10-Aug-18 23:00:00,0.51
11-Aug-18 00:00:00,0.51
11-Aug-18 01:00:00,0.51
11-Aug-18 02:00:00,0.51
11-Aug-18 03:00:00,0.51
11-Aug-18 04:00:00,0.51
11-Aug-18 05:00:00,0.51
11-Aug-18 06:00:00,0.51
11-Aug-18 07:00:00,0.51
11-Aug-18 08:00:00,0.51
11-Aug-18 09:00:00,0.51
11-Aug-18 10:00:00,0.51
11-Aug-18 11:00:00,0.51
11-Aug-18 12:00:00,0.51
11-Aug-18 13:00:00,0.51
11-Aug-18 14:00:00,0.51
11-Aug-18 15:00:00,0.51
11-Aug-18 16:00:00,0.51
11-Aug-18 17:00:00,0.51
11-Aug-18 18:00:00,0.51
11-Aug-18 19:00:00,0.51
11-Aug-18 20:00:00,0.51
11-Aug-18 21:00:00,0.51
11-Aug-18 22:00:00,0.51
11-Aug-18 23:00:00,0.51
12-Aug-18 00:00:00,0.51
12-Aug-18 01:00:00,0.51
12-Aug-18 02:00:00,0.51
12-Aug-18 03:00:00,0.51
12-Aug-18 04:00:00,0.51
12-Aug-18 05:00:00,0.51
12-Aug-18 06:00:00,0.51
12-Aug-18 07:00:00,0.51
12-Aug-18 08:00:00,0.51
12-Aug-18 09:00:00,0.51
12-Aug-18 10:00:00,0.51
12-Aug-18 11:00:00,0.51
12-Aug-18 12:00:00,0.51
12-Aug-18 13:00:00,0.51
12-Aug-18 14:00:00,0.51
12-Aug-18 15:00:00,0.51
12-Aug-18 16:00:00,0.51
12-Aug-18 17:00:00,0.51
12-Aug-18 18:00:00,0.51
12-Aug-18 19:00:00,0.51
12-Aug-18 20:00:00,0.51
12-Aug-18 21:00:00,0.51
12-Aug-18 22:00:00,0.51
12-Aug-18 23:00:00,0.51
13-Aug-18 00:00:00,0.52
13-Aug-18 01:00:00,0.52
13-Aug-18 02:00:00,0.52
13-Aug-18 03:00:00,0.52
13-Aug-18 04:00:00,0.52
13-Aug-18 05:00:00,0.52
13-Aug-18 06:00:00,0.52
13-Aug-18 07:00:00,0.52
13-Aug-18 08:00:00,0.52
13-Aug-18 09:00:00,0.52
13-Aug-18 10:00:00,0.52
13-Aug-18 11:00:00,0.52
13-Aug-18 12:00:00,0.52
13-Aug-18 13:00:00,0.52
13-Aug-18 14:00:00,0.52
13-Aug-18 15:00:00,0.52
13-Aug-18 16:00:00,0.52
13-Aug-18 17:00:00,0.52
13-Aug-18 18:00:00,0.52
13-Aug-18 19:00:00,0.52
13-Aug-18 20:00:00,0.52
13-Aug-18 21:00:00,0.52
13-Aug-18 22:00:00,0.52
13-Aug-18 23:00:00,0.52
14-Aug-18 00:00:00,0.51
14-Aug-18 01:00:00,0.51
14-Aug-18 02:00:00,0.51
14-Aug-18 03:00:00,0.51
14-Aug-18 04:00:00,0.51
14-Aug-18 05:00:00,0.51
14-Aug-18 06:00:00,0.51
14-Aug-18 07:00:00,0.51
14-Aug-18 08:00:00,0.51
14-Aug-18 09:00:00,0.51
14-Aug-18 10:00:00,0.51
14-Aug-18 11:00:00,0.51
14-Aug-18 12:00:00,0.51
14-Aug-18 13:00:00,0.51
14-Aug-18 14:00:00,0.51
14-Aug-18 15:00:00,0.51
14-Aug-18 16:00:00,0.51
14-Aug-18 17:00:00,0.51
14-Aug-18 18:00:00,0.51
14-Aug-18 19:00:00,0.51
14-Aug-18 20:00:00,0.51
14-Aug-18 21:00:00,0.51
14-Aug-18 22:00:00,0.51
14-Aug-18 23:00:00,0.51
15-Aug-18 00:00:00,0.52
15-Aug-18 01:00:00,0.52
15-Aug-18 02:00:00,0.52
15-Aug-18 03:00:00,0.52
15-Aug-18 04:00:00,0.52
15-Aug-18 05:00:00,0.52
15-Aug-18 06:00:00,0.52
15-Aug-18 07:00:00,0.52
15-Aug-18 08:00:00,0.52
15-Aug-18 09:00:00,0.52
15-Aug-18 10:00:00,0.52
15-Aug-18 11:00:00,0.52
15-Aug-18 12:00:00,0.52
15-Aug-18 13:00:00,0.52
15-Aug-18 14:00:00,0.52
15-Aug-18 15:00:00,0.52
15-Aug-18 16:00:00,0.52
15-Aug-18 17:00:00,0.52
15-Aug-18 18:00:00,0.52
15-Aug-18 19:00:00,0.52
15-Aug-18 20:00:00,0.52
15-Aug-18 21:00:00,0.52
15-Aug-18 22:00:00,0.52
15-Aug-18 23:00:00,0.52
16-Aug-18 00:00:00,0.52
16-Aug-18 01:00:00,0.52
16-Aug-18 02:00:00,0.52
16-Aug-18 03:00:00,0.52
16-Aug-18 04:00:00,0.52
16-Aug-18 05:00:00,0.52
16-Aug-18 06:00:00,0.52
16-Aug-18 07:00:00,0.52
16-Aug-18 08:00:00,0.52
16-Aug-18 09:00:00,0.52
16-Aug-18 10:00:00,0.52
16-Aug-18 11:00:00,0.52
16-Aug-18 12:00:00,0.52
16-Aug-18 13:00:00,0.52
16-Aug-18 14:00:00,0.52
16-Aug-18 15:00:00,0.52
16-Aug-18 16:00:00,0.52
16-Aug-18 17:00:00,0.52
16-Aug-18 18:00:00,0.52
16-Aug-18 19:00:00,0.52
16-Aug-18 20:00:00,0.52
16-Aug-18 21:00:00,0.52
16-Aug-18 22:00:00,0.52
16-Aug-18 23:00:00,0.52
17-Aug-18 00:00:00,0.51
17-Aug-18 01:00:00,0.51
17-Aug-18 02:00:00,0.51
17-Aug-18 03:00:00,0.51
17-Aug-18 04:00:00,0.51
17-Aug-18 05:00:00,0.51
17-Aug-18 06:00:00,0.51
17-Aug-18 07:00:00,0.51
17-Aug-18 08:00:00,0.51
17-Aug-18 09:00:00,0.51
17-Aug-18 10:00:00,0.51
17-Aug-18 11:00:00,0.51
17-Aug-18 12:00:00,0.51
17-Aug-18 13:00:00,0.51
17-Aug-18 14:00:00,0.51
17-Aug-18 15:00:00,0.51
17-Aug-18 16:00:00,0.51
17-Aug-18 17:00:00,0.51
17-Aug-18 18:00:00,0.51
17-Aug-18 19:00:00,0.51
17-Aug-18 20:00:00,0.51
17-Aug-18 21:00:00,0.51
17-Aug-18 22:00:00,0.51
17-Aug-18 23:00:00,0.51
18-Aug-18 00:00:00,0.51
18-Aug-18 01:00:00,0.52
18-Aug-18 02:00:00,0.52
18-Aug-18 03:00:00,0.52
18-Aug-18 04:00:00,0.52
18-Aug-18 05:00:00,0.52
18-Aug-18 06:00:00,0.52
18-Aug-18 07:00:00,0.52
18-Aug-18 08:00:00,0.52
18-Aug-18 09:00:00,0.52
18-Aug-18 10:00:00,0.52
18-Aug-18 11:00:00,0.52
18-Aug-18 12:00:00,0.52
18-Aug-18 13:00:00,0.52
18-Aug-18 14:00:00,0.52
18-Aug-18 15:00:00,0.52
18-Aug-18 16:00:00,0.52
18-Aug-18 17:00:00,0.52
18-Aug-18 18:00:00,0.52
18-Aug-18 19:00:00,0.52
18-Aug-18 20:00:00,0.52
18-Aug-18 21:00:00,0.52
18-Aug-18 22:00:00,0.52
18-Aug-18 23:00:00,0.52
19-Aug-18 00:00:00,0.52
19-Aug-18 01:00:00,0.52
19-Aug-18 02:00:00,0.52
19-Aug-18 03:00:00,0.52
19-Aug-18 04:00:00,0.52
19-Aug-18 05:00:00,0.52
19-Aug-18 06:00:00,0.52
19-Aug-18 07:00:00,0.52
19-Aug-18 08:00:00,0.52
19-Aug-18 09:00:00,0.52
19-Aug-18 10:00:00,0.52
19-Aug-18 11:00:00,0.52
19-Aug-18 12:00:00,0.52
19-Aug-18 13:00:00,0.52
19-Aug-18 14:00:00,0.52
19-Aug-18 15:00:00,0.52
19-Aug-18 16:00:00,0.52
19-Aug-18 17:00:00,0.52
19-Aug-18 18:00:00,0.52
19-Aug-18 19:00:00,0.52
19-Aug-18 20:00:00,0.52
19-Aug-18 21:00:00,0.52
19-Aug-18 22:00:00,0.52
19-Aug-18 23:00:00,0.52
20-Aug-18 00:00:00,0.53
20-Aug-18 01:00:00,0.53
20-Aug-18 02:00:00,0.53
20-Aug-18 03:00:00,0.53
20-Aug-18 04:00:00,0.53
20-Aug-18 05:00:00,0.53
20-Aug-18 06:00:00,0.53
20-Aug-18 07:00:00,0.53
20-Aug-18 08:00:00,0.53
20-Aug-18 09:00:00,0.53
20-Aug-18 10:00:00,0.53
20-Aug-18 11:00:00,0.53
20-Aug-18 12:00:00,0.53
20-Aug-18 13:00:00,0.53
20-Aug-18 14:00:00,0.53
20-Aug-18 15:00:00,0.53
20-Aug-18 16:00:00,0.53
20-Aug-18 17:00:00,0.53
20-Aug-18 18:00:00,0.53
20-Aug-18 19:00:00,0.53
20-Aug-18 20:00:00,0.53
20-Aug-18 21:00:00,0.53
20-Aug-18 22:00:00,0.53
20-Aug-18 23:00:00,0.53
21-Aug-18 00:00:00,0.52
21-Aug-18 01:00:00,0.52
21-Aug-18 02:00:00,0.52
21-Aug-18 03:00:00,0.52
21-Aug-18 04:00:00,0.52
21-Aug-18 05:00:00,0.52
21-Aug-18 06:00:00,0.52
21-Aug-18 07:00:00,0.52
21-Aug-18 08:00:00,0.52
21-Aug-18 09:00:00,0.52
21-Aug-18 10:00:00,0.5
21-Aug-18 11:00:00,0.5
21-Aug-18 12:00:00,0.5
21-Aug-18 13:00:00,0.5
21-Aug-18 14:00:00,0.5
21-Aug-18 15:00:00,0.5
21-Aug-18 16:00:00,0.5
21-Aug-18 17:00:00,0.5
21-Aug-18 18:00:00,0.5
21-Aug-18 19:00:00,0.5
21-Aug-18 20:00:00,0.5
21-Aug-18 21:00:00,0.5
21-Aug-18 22:00:00,0.5
21-Aug-18 23:00:00,0.5
22-Aug-18 00:00:00,0.51
22-Aug-18 01:00:00,0.51
22-Aug-18 02:00:00,0.51
22-Aug-18 03:00:00,0.51
22-Aug-18 04:00:00,0.51
22-Aug-18 05:00:00,0.51
22-Aug-18 06:00:00,0.51
22-Aug-18 07:00:00,0.51
22-Aug-18 08:00:00,0.51
22-Aug-18 09:00:00,0.51
22-Aug-18 10:00:00,0.51
22-Aug-18 11:00:00,0.51
22-Aug-18 12:00:00,0.51
22-Aug-18 13:00:00,0.51
22-Aug-18 14:00:00,0.51
22-Aug-18 15:00:00,0.51
22-Aug-18 16:00:00,0.51
22-Aug-18 17:00:00,0.51
22-Aug-18 18:00:00,0.51
22-Aug-18 19:00:00,0.51
22-Aug-18 20:00:00,0.51
22-Aug-18 21:00:00,0.51
22-Aug-18 22:00:00,0.51
22-Aug-18 23:00:00,0.51
23-Aug-18 00:00:00,0.49
23-Aug-18 01:00:00,0.49
23-Aug-18 02:00:00,0.49
23-Aug-18 03:00:00,0.49
23-Aug-18 04:00:00,0.49
23-Aug-18 05:00:00,0.49
23-Aug-18 06:00:00,0.49
23-Aug-18 07:00:00,0.49
23-Aug-18 08:00:00,0.49
23-Aug-18 09:00:00,0.49
23-Aug-18 10:00:00,0.49
23-Aug-18 11:00:00,0.49
23-Aug-18 12:00:00,0.49
23-Aug-18 13:00:00,0.49
23-Aug-18 14:00:00,0.49
23-Aug-18 15:00:00,0.49
23-Aug-18 16:00:00,0.49
23-Aug-18 17:00:00,0.49
23-Aug-18 18:00:00,0.49
23-Aug-18 19:00:00,0.49
23-Aug-18 20:00:00,0.49
23-Aug-18 21:00:00,0.49
23-Aug-18 22:00:00,0.49
23-Aug-18 23:00:00,0.49
24-Aug-18 00:00:00,0.49
24-Aug-18 01:00:00,0.49
24-Aug-18 02:00:00,0.49
24-Aug-18 03:00:00,0.49
24-Aug-18 04:00:00,0.49
24-Aug-18 05:00:00,0.49
24-Aug-18 06:00:00,0.49
24-Aug-18 07:00:00,0.49
24-Aug-18 08:00:00,0.49
24-Aug-18 09:00:00,0.49
24-Aug-18 10:00:00,0.49
24-Aug-18 11:00:00,0.49
24-Aug-18 12:00:00,0.49
24-Aug-18 13:00:00,0.49
24-Aug-18 14:00:00,0.49
24-Aug-18 15:00:00,0.49
24-Aug-18 16:00:00,0.49
24-Aug-18 17:00:00,0.49
24-Aug-18 18:00:00,0.49
24-Aug-18 19:00:00,0.49
24-Aug-18 20:00:00,0.49
24-Aug-18 21:00:00,0.49
24-Aug-18 22:00:00,0.49
24-Aug-18 23:00:00,0.49
25-Aug-18 00:00:00,0.49
25-Aug-18 01:00:00,0.49
25-Aug-18 02:00:00,0.49
25-Aug-18 03:00:00,0.49
25-Aug-18 04:00:00,0.49
25-Aug-18 05:00:00,0.49
25-Aug-18 06:00:00,0.49
25-Aug-18 07:00:00,0.49
25-Aug-18 08:00:00,0.49
25-Aug-18 09:00:00,0.49
25-Aug-18 10:00:00,0.49
25-Aug-18 11:00:00,0.49
25-Aug-18 12:00:00,0.49
25-Aug-18 13:00:00,0.49
25-Aug-18 14:00:00,0.49
25-Aug-18 15:00:00,0.49
25-Aug-18 16:00:00,0.49
25-Aug-18 17:00:00,0.49
25-Aug-18 18:00:00,0.49
25-Aug-18 19:00:00,0.49
25-Aug-18 20:00:00,0.49
25-Aug-18 21:00:00,0.49
25-Aug-18 22:00:00,0.49
25-Aug-18 23:00:00,0.49
26-Aug-18 00:00:00,0.49
26-Aug-18 01:00:00,0.49
26-Aug-18 02:00:00,0.49
26-Aug-18 03:00:00,0.49
26-Aug-18 04:00:00,0.49
26-Aug-18 05:00:00,0.49
26-Aug-18 06:00:00,0.49
26-Aug-18 07:00:00,0.49
26-Aug-18 08:00:00,0.49
26-Aug-18 09:00:00,0.49
26-Aug-18 10:00:00,0.49
26-Aug-18 11:00:00,0.49
26-Aug-18 12:00:00,0.49
26-Aug-18 13:00:00,0.49
26-Aug-18 14:00:00,0.49
26-Aug-18 15:00:00,0.49
26-Aug-18 16:00:00,0.49
26-Aug-18 17:00:00,0.49
26-Aug-18 18:00:00,0.49
26-Aug-18 19:00:00,0.49
26-Aug-18 20:00:00,0.49
26-Aug-18 21:00:00,0.49
26-Aug-18 22:00:00,0.49
26-Aug-18 23:00:00,0.49
27-Aug-18 00:00:00,0.49
27-Aug-18 01:00:00,0.49
27-Aug-18 02:00:00,0.49
27-Aug-18 03:00:00,0.49
27-Aug-18 04:00:00,0.49
27-Aug-18 05:00:00,0.49
27-Aug-18 06:00:00,0.49
27-Aug-18 07:00:00,0.49
27-Aug-18 08:00:00,0.49
27-Aug-18 09:00:00,0.49
27-Aug-18 10:00:00,0.49
27-Aug-18 11:00:00,0.49
27-Aug-18 12:00:00,0.49
27-Aug-18 13:00:00,0.49
27-Aug-18 14:00:00,0.49
27-Aug-18 15:00:00,0.49
27-Aug-18 16:00:00,0.49
27-Aug-18 17:00:00,0.49
27-Aug-18 18:00:00,0.49
27-Aug-18 19:00:00,0.49
27-Aug-18 20:00:00,0.49
27-Aug-18 21:00:00,0.49
27-Aug-18 22:00:00,0.49
27-Aug-18 23:00:00,0.49
28-Aug-18 00:00:00,0.49
28-Aug-18 01:00:00,0.49
28-Aug-18 02:00:00,0.49
28-Aug-18 03:00:00,0.49
28-Aug-18 04:00:00,0.49
28-Aug-18 05:00:00,0.49
28-Aug-18 06:00:00,0.49
28-Aug-18 07:00:00,0.49
28-Aug-18 08:00:00,0.49
28-Aug-18 09:00:00,0.49
28-Aug-18 10:00:00,0.49
28-Aug-18 11:00:00,0.49
28-Aug-18 12:00:00,0.49
28-Aug-18 13:00:00,0.49
28-Aug-18 14:00:00,0.49
28-Aug-18 15:00:00,0.49
28-Aug-18 16:00:00,0.49
28-Aug-18 17:00:00,0.49
28-Aug-18 18:00:00,0.49
28-Aug-18 19:00:00,0.49
28-Aug-18 20:00:00,0.49
28-Aug-18 21:00:00,0.49
28-Aug-18 22:00:00,0.49
28-Aug-18 23:00:00,0.49
29-Aug-18 00:00:00,0.49
29-Aug-18 01:00:00,0.49
29-Aug-18 02:00:00,0.49
29-Aug-18 03:00:00,0.49
29-Aug-18 04:00:00,0.49
29-Aug-18 05:00:00,0.49
29-Aug-18 06:00:00,0.49
29-Aug-18 07:00:00,0.49
29-Aug-18 08:00:00,0.49
29-Aug-18 09:00:00,0.49
29-Aug-18 10:00:00,0.49
29-Aug-18 11:00:00,0.49
29-Aug-18 12:00:00,0.49
29-Aug-18 13:00:00,0.49
29-Aug-18 14:00:00,0.49
29-Aug-18 15:00:00,0.49
29-Aug-18 16:00:00,0.49
29-Aug-18 17:00:00,0.49
29-Aug-18 18:00:00,0.49
29-Aug-18 19:00:00,0.49
29-Aug-18 20:00:00,0.49
29-Aug-18 21:00:00,0.49
29-Aug-18 22:00:00,0.49
29-Aug-18 23:00:00,0.49
30-Aug-18 00:00:00,0.49
30-Aug-18 01:00:00,0.49
30-Aug-18 02:00:00,0.49
30-Aug-18 03:00:00,0.49
30-Aug-18 04:00:00,0.49
30-Aug-18 05:00:00,0.49
30-Aug-18 06:00:00,0.49
30-Aug-18 07:00:00,0.49
30-Aug-18 08:00:00,0.49
30-Aug-18 09:00:00,0.49
30-Aug-18 10:00:00,0.49
30-Aug-18 11:00:00,0.49
30-Aug-18 12:00:00,0.498
30-Aug-18 13:00:00,0.498
30-Aug-18 14:00:00,0.498
30-Aug-18 15:00:00,0.498
30-Aug-18 16:00:00,0.498
30-Aug-18 17:00:00,0.498
30-Aug-18 18:00:00,0.498
30-Aug-18 19:00:00,0.498
30-Aug-18 20:00:00,0.498
30-Aug-18 21:00:00,0.498
30-Aug-18 22:00:00,0.498
30-Aug-18 23:00:00,0.498
31-Aug-18 00:00:00,0.493
31-Aug-18 01:00:00,0.493
31-Aug-18 02:00:00,0.493
31-Aug-18 03:00:00,0.493
31-Aug-18 04:00:00,0.493
31-Aug-18 05:00:00,0.493
31-Aug-18 06:00:00,0.493
31-Aug-18 07:00:00,0.493
31-Aug-18 08:00:00,0.493
31-Aug-18 09:00:00,0.493
31-Aug-18 10:00:00,0.493
31-Aug-18 11:00:00,0.493
31-Aug-18 12:00:00,0.493
31-Aug-18 13:00:00,0.493
31-Aug-18 14:00:00,0.493
31-Aug-18 15:00:00,0.493
31-Aug-18 16:00:00,0.493
31-Aug-18 17:00:00,0.493
31-Aug-18 18:00:00,0.493
31-Aug-18 19:00:00,0.493
31-Aug-18 20:00:00,0.493
31-Aug-18 21:00:00,0.493
31-Aug-18 22:00:00,0.493
31-Aug-18 23:00:00,0.493
01-Sep-18 00:00:00,0.485
01-Sep-18 01:00:00,0.485
01-Sep-18 02:00:00,0.485
01-Sep-18 03:00:00,0.485
01-Sep-18 04:00:00,0.485
01-Sep-18 05:00:00,0.485
01-Sep-18 06:00:00,0.485
