Date,Time (Local),Eyeballs ,Zeroes ,Completed Trips ,Requests ,Unique Drivers
,18,28,5,3,3,13
,19,18,2,2,2,13
,20,19,1,2,2,12
,21,25,2,2,5,10
,22,23,3,9,10,9
,23,16,2,2,2,8
20-Sep-12,0,10,4,2,3,4
,1,1,0,0,1,1
,2,2,2,0,1,0
,3,2,2,0,2,0
,4,2,2,0,0,0
,5,1,1,0,0,0
,6,3,1,1,1,2
,7,5,2,2,2,4
,8,7,1,1,2,6
,9,11,2,1,2,7
,10,16,2,2,2,9
,11,15,3,2,3,12
,12,16,2,3,3,12
,13,15,2,0,0,11
,14,19,4,1,2,11
,15,18,5,2,3,12
,16,21,2,4,5,9
,17,37,4,5,9,8
,18,26,5,3,4,11
,19,36,7,14,16,13
,20,26,3,4,6,11
,21,30,5,6,8,13
,22,40,7,12,15,13
,23,16,0,5,5,10
21-Sep-12,0,22,1,10,11,9
,1,9,1,5,5,7
,2,5,0,1,2,5
,3,3,3,0,0,0
,4,0,0,0,0,0
,5,1,1,0,0,0
,6,6,3,0,2,2
,7,7,3,0,0,4
,8,3,0,0,0,6
,9,8,0,1,1,7
,10,17,4,0,1,8
,11,23,5,1,1,10
,12,22,3,1,1,9
,13,34,4,5,7,9
,14,35,5,9,10,12
,15,30,3,4,7,12
,16,49,4,11,12,15
,17,68,25,26,26,20
,18,62,6,15,22,26
,19,47,3,16,19,30
,20,63,8,14,21,28
,21,59,8,12,17,27
,22,73,4,23,29,26
,23,94,30,36,46,26
22-Sep-12,0,62,4,19,27,27
,1,39,5,17,24,24
,2,30,0,9,18,12
,3,11,3,3,3,8
,4,6,4,2,3,1
,5,5,4,1,2,0
,6,5,5,0,1,0
,7,8,3,0,0,1
,8,15,5,3,5,3
,9,15,5,1,1,6
,10,30,7,3,3,9
,11,33,6,5,7,9
,12,34,5,12,14,9
,13,61,25,12,17,10
,14,62,10,16,21,15
,15,75,15,18,23,16
,16,58,17,15,18,16
,17,41,2,8,10,20
,18,49,7,11,13,16
,19,43,10,21,24,15
,20,49,4,7,14,18
,21,53,3,15,19,21
,22,77,11,25,33,19
,23,99,59,25,44,17
23-Sep-12,0,62,25,23,32,18
,1,38,1,15,23,18
,2,34,4,13,18,18
,3,19,1,9,9,16
,4,1,0,0,1,4
,5,9,9,0,4,0
,6,8,7,1,1,1
,7,7,3,2,2,2
,8,13,3,0,0,4
,9,14,4,0,1,6
,10,19,3,2,2,9
,11,20,3,3,5,8
,12,25,3,2,4,8
,13,15,4,3,3,9
,14,20,2,4,4,7
,15,22,4,0,2,9
,16,22,0,7,8,11
,17,31,9,4,6,12
,18,36,4,8,11,12
,19,32,9,4,6,11
,20,29,6,3,3,7
,21,24,6,3,4,5
,22,17,2,2,2,6
,23,9,3,3,3,3
24-Sep-12,0,7,2,1,2,2
,1,7,7,0,0,0
,2,3,3,0,2,0
,3,3,3,0,1,0
,4,1,1,0,0,0
,5,4,2,1,1,3
,6,9,1,2,2,7
